ThumbsUp: Military, ImageName: 10Dog, Key Pressed: L, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 1061.8698 ms
ThumbsUp: Military, ImageName: 1Bird, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Incorrect, pressed in 553.4141 ms
ThumbsUp: Military, ImageName: 2Military_Tank, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 563.233 ms
ThumbsUp: Military, ImageName: 3Military_Helicopter, Key Pressed: L, ThumbsUp: A, ThumbsDown: L, Answer: Incorrect, pressed in 354.2184 ms
ThumbsUp: Military, ImageName: 4Military_Medic, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 400.9812 ms
ThumbsUp: Military, ImageName: 5Medical, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Incorrect, pressed in 319.3404 ms
ThumbsUp: Military, ImageName: 6Military_Gun, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 857.6283 ms
ThumbsUp: Military, ImageName: 7Tesla, Key Pressed: L, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 489.2511 ms
ThumbsUp: Military, ImageName: 8Hummer, Key Pressed: L, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 561.3863 ms
ThumbsUp: Military, ImageName: 9Military_Hummer, Key Pressed: A, ThumbsUp: A, ThumbsDown: L, Answer: Correct, pressed in 568.4824 ms
ThumbsUp: NonMilitary, ImageName: 10Dog, Key Pressed: L, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 1804.5777 ms
ThumbsUp: NonMilitary, ImageName: 1Bird, Key Pressed: L, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 676.8824 ms
ThumbsUp: NonMilitary, ImageName: 2Military_Tank, Key Pressed: A, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 584.8355 ms
ThumbsUp: NonMilitary, ImageName: 3Military_Helicopter, Key Pressed: A, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 685.8963 ms
ThumbsUp: NonMilitary, ImageName: 4Military_Medic, Key Pressed: A, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 976.7066 ms
ThumbsUp: NonMilitary, ImageName: 5Medical, Key Pressed: L, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 455.5703 ms
ThumbsUp: NonMilitary, ImageName: 6Military_Gun, Key Pressed: L, ThumbsUp: L, ThumbsDown: A, Answer: Incorrect, pressed in 2436.0776 ms
ThumbsUp: NonMilitary, ImageName: 7Tesla, Key Pressed: A, ThumbsUp: L, ThumbsDown: A, Answer: Incorrect, pressed in 508.1379 ms
ThumbsUp: NonMilitary, ImageName: 8Hummer, Key Pressed: L, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 434.25 ms
ThumbsUp: NonMilitary, ImageName: 9Military_Hummer, Key Pressed: A, ThumbsUp: L, ThumbsDown: A, Answer: Correct, pressed in 342.9075 ms
